Nodes	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120
G1	0.02737784	0.02300710	0.02853228	0.01925572	0.02690143	0.02441125	0.02568962	0.02019777	0.02161040	0.02054199	0.01968687	0.01965616	0.01943990	0.02558936	0.02199403	0.02344837	0.01962100	0.02446147	0.02247506	0.01988955	0.00705870	0.00387941	0.00071233	0.00252238	0.01123527	0.00806269	0.00474459	0.00544294	0.01118091	0.00577705	0.00801842	0.00472311	0.00513757	0.01119000	0.00317729	0.00515401	0.00971393	0.00354083	0.00356690	0.00801107	0.00614861	0.00476354	0.00311421	0.00451217	0.00126376	0.00343829	0.00458900	0.00700152	0.00621530	0.00427403	0.00551531	0.00238830	0	0.00733499	0.00308325	0.00402372	0.00188251	0.00625553	0.00323796	0.00401047	0.00636925	0.00852710	0.00791045	0.00347673	0.00653443	0	0.00649193	0.00426726	0.00453210	0.00239526	0.00543832	0.00620473	0.01041450	0.00549428	0.00759314	0.00673917	0.00784011	0.00591659	0.00455765	0.00825719	0	0.00571467	0.00811106	0.00580724	0.00360886	0.00610608	0.00788508	0.00903685	0.00214610	0.00340846	0.00509446	0.00601825	0.00652772	0.00741757	0.00571908	0.00564826	0.00714431	0.00879091	0.00609906	0.00530103	0.00121420	0.00361299	0.00540198	0.00440212	0.00424757	0.00536647	0.00401758	0.00601815	0.00128621	0.00689780	0.00824112	0.00245414	0.00499450	0.00467188	0.01101041	0.00651438	0.00771351	0.00547150	0.00825063	0.00397860
G2	0.02473430	0.02031694	0	0.02467541	0.02235534	0.02450143	0.02933011	0.01905755	0.02793521	0.02646409	0.02717938	0.02768603	0.02109421	0.02069463	0.02598840	0.02431171	0.02166984	0	0.02540281	0.02416937	0.01019621	0.00891946	0.00391327	0.00578066	0.00980357	0.00336240	0.00352066	0.00364534	0.00975848	0.00846736	0.00808535	0.00865176	0	0.01207430	0.00605791	0.00717802	0	0.00630404	0.00813997	0	0.00703029	0.00114773	0.00501645	0.00253782	0.00436090	0.00441632	0.00169436	0.00456146	0.00475936	0.00559885	0.00602349	0.00406914	0.00628590	0.00905766	0.00388386	0.01245765	0.00355889	0.00672326	0.00222948	0.00260031	0.00730539	0.00724684	0.00558407	0.00750578	0.00708504	0.00836849	0.00503735	0.00275998	0.00603772	0.00242388	0.00400638	0.00934642	0.00809087	0.00099546	0.00537628	0.00438650	0.00749346	0.00463683	0.00248580	0.00722466	0.00946702	0.00025793	0.00622186	0.00783526	0.00537618	0.00581196	0.00861646	0.00629727	0.00294776	0	0.00392114	0.00533842	0.00541871	0.00799106	0.00427859	0.00575754	0.00798854	0.00478493	0.00708642	0.00857410	0.00193634	0.00794799	0.00672928	0.00572221	0.00650988	0.00689872	0	0.00750551	0.00669691	0.01026415	0.00991011	0.00161578	0.00643928	0.00443015	0.00593633	0.00684444	0.00528263	0.00707979	0.00383321	0.00161023
G3	0.02501712	0.01998124	0.02111467	0.02312967	0.02582495	0.02637677	0.02694879	0.02048467	0.02368813	0.01990214	0.01957315	0.02164920	0.02146852	0.01984401	0.02022634	0.02510554	0.01945936	0.02132680	0.02693385	0.02189973	0.00928446	0.00741630	0.00817465	0.00516138	0.00954054	0.00277488	0.00046033	0.00250673	0.00839553	0.00362441	0.00758167	0.00734709	0.00417861	0.01050329	0.00506629	0.00792861	0.00828744	0.00777001	0.00612367	0.00819501	0.00744224	0.00370501	0.00382932	0.00187535	0.00229316	0.00646126	0.00649963	0.00394525	0.00782749	0.00435352	0.00607975	0.00160364	0.00356913	0.00572477	0.00523599	0.00755864	0.00605286	0.00609600	0.00717060	0.00673478	0	0.00299061	0.00603535	0.00558161	0.00894972	0.00421337	0.00249741	0.00403767	0.00327308	0.00501101	0.00261340	0.00752721	0.00845558	0.00316594	0.00494032	0.00548868	0.01111952	0.00471116	0.00446707	0.00707068	0.00886558	0.00664392	0.00619571	0.00614701	0.00093515	0.00598198	0	0.00605000	0.00413597	0	0.00695214	0.00477177	0.00811821	0.00643437	0.00534985	0	0.00940967	0.00648470	0.00768345	0.00517603	0.00300906	0.00731411	0.00567994	0.00607592	0.00673064	0.00658858	0.00134995	0.00643832	0.00500696	0.00724160	0.00532419	0.00409453	0.00401173	0.00538201	0.00771094	0.00784795	0.00435230	0.00371185	0.00591349	0.00439710
G4	0.02673185	0.02501440	0.02086919	0.02038484	0	0.02581264	0.03090629	0.02349179	0.02261299	0.02160862	0.02087046	0.02715795	0.02332115	0.02421156	0.02677024	0.02350699	0.01855724	0.02499692	0.02596277	0.02110122	0.00581397	0.00641932	0.00411312	0.00656586	0.00791391	0.00548060	0.00531342	0.00374808	0.01016799	0.00767849	0.00539845	0.00270180	0.00616172	0.00782901	0.00395350	0.00757399	0.00553285	0.00218402	0.00561006	0.00519812	0.00694075	0.00446110	0.00254492	0.00641025	0	0.00664884	0.00278914	0.00476752	0.00828684	0.00390281	0.00616332	0.00293768	0.00067567	0.00706981	0.00914627	0.00521077	0.00510259	0.00797210	0.00656740	0.00565063	0.00587333	0.00574290	0.00928560	0.00682633	0.00800067	0.00662503	0.00164700	0.00434257	0.00543634	0.00191263	0	0.00994947	0.00850683	0.00586635	0.00404107	0.00915902	0.00802363	0.00843472	0.00385643	0.00683331	0.00724829	0.00422646	0.00334110	0.00563807	0.00593338	0.00451198	0.00652327	0.00320451	0.00098725	0.00354136	0.00031729	0.00691420	0.00801192	0.00576912	0.00435471	0.00781564	0.00807471	0.00215584	0.00660246	0.00957989	0.00315966	0.00849105	0.00479945	0.00786362	0.00559075	0.00807637	0.00403298	0.00323986	0.00547698	0.00863456	0.00916470	0	0.00182747	0.00432375	0.00433142	0.00693772	0.00435073	0.00330425	0.00527535	0.00350885
G5	0.02116601	0.02119607	0.02214177	0.02142032	0.02535657	0.02291856	0.02637439	0	0.02439862	0.02259974	0.02046938	0.02229683	0.02431469	0.02709656	0.02260243	0.02695440	0.02119711	0.02744834	0.02773341	0.02087273	0.00706160	0.00627732	0.00554946	0.00073490	0.00699099	0.00427768	0.00420685	0	0	0.00591543	0.00891965	0.00920696	0.00924434	0.00623141	0.00590519	0.00693173	0.00572483	0.00602038	0.00653981	0.00755655	0.00490752	0.00110661	0.00436192	0.00704028	0.00309952	0.00582897	0.00295036	0.00616333	0.00622730	0.00595622	0.00850001	0.00378096	0.00411405	0.00939992	0.00506764	0.00675159	0	0.00578385	0.00210071	0.00340082	0	0.00586756	0.00579376	0	0.00327344	0.00572196	0.00587333	0.00182641	0.00357085	0.00697180	0.00212831	0.00686807	0.00859012	0.00413786	0.01214936	0.00201656	0.01224626	0.00359558	0.00694616	0.00454642	0.00476657	0.01004685	0.00953617	0.00630144	0.00603267	0.00499916	0.00940494	0.00858119	0.00367073	0.00221988	0.00477200	0.00430910	0.00757483	0.00624704	0.00338452	0.00647088	0	0.00870572	0.00782485	0.00687123	0.00136064	0.00805229	0.00624770	0.00674868	0.00350401	0.00551697	0.00368437	0.00276949	0.00313646	0.00840525	0.00763309	0.00766419	0.00289522	0.00503064	0.00997728	0.00845852	0.00565976	0.00775166	0.00692734	0.00633829
G6	0.02647624	0.02037014	0.02582498	0.02425969	0.02328525	0.02811863	0.02879091	0.02326051	0.02521998	0	0.02057531	0.02682299	0.02115600	0.02168733	0.02870933	0.02200691	0.02214852	0.02330617	0.02766645	0.02454887	0	0.00720485	0.00397941	0.00193440	0.00844821	0.00695625	0.00366675	0.00287597	0	0.00241953	0.00804100	0.00751788	0.00930504	0.00949102	0	0.01016357	0.00684300	0.01017651	0.00547623	0.00467720	0.00889733	0.00586661	0.00904699	0.00668220	0.00227017	0.00306574	0.00664189	0.00373679	0.00572726	0.00583655	0.00146679	0.00508368	0.00626674	0.00415112	0.00577202	0.00619005	0.00151069	0.00361274	0.00398905	0.00406425	0.00535217	0.00428592	0.00587915	0.00444911	0	0.01179651	0.00551338	0.00326133	0.00513087	0.00746523	0.00118223	0.00723469	0.00700427	0.00620225	0.01139725	0.00870044	0.00984140	0.00478293	0.00493651	0.00574080	0.00448946	0.00373420	0.00368537	0.01069217	0.00483847	0.00308084	0.00717575	0.00423570	0.00535703	0.00636083	0	0	0.01028603	0.00162390	0.00039368	0.00736356	0.01099156	0.00627738	0.00711313	0.00551284	0	0.00726598	0	0.01161329	0.00308503	0.00352577	0.00485131	0.00628397	0.00636725	0.00695775	0.00584769	0.00616085	0.00443026	0.00073181	0.00823543	0.00707555	0.00517201	0.00682082	0.00336792	0.00554929
G7	0	0.02349709	0.02623303	0	0.02988399	0.02758221	0.03112456	0.02339016	0.02140898	0.02044847	0.02419135	0.02520444	0.01892339	0.02574087	0.02917268	0.02940224	0.02380813	0.02499481	0.02443874	0.02487921	0.00758964	0.00647459	0.00322724	0.00421015	0.00707538	0.00243383	0.00469745	0.00081929	0.00707121	0.00374364	0.00768298	0.00724337	0.00597162	0.00944002	0	0.00550445	0.00986068	0.00800269	0.00730468	0.00820286	0.01149778	0.00046756	0.00369287	0.00553864	0.00564383	0.00532209	0.00514353	0.00544209	0.00554383	0.00447859	0.00690930	0.00382535	0.00383441	0.00976731	0.00774130	0.00631297	0.00470352	0.00874579	0.00336087	0.00821208	0.00857475	0.00855879	0.00812647	0.00854683	0.00667689	0.00509696	0.00394023	0.00140794	0.00641619	0.00150396	0.00341122	0.00714859	0.00807684	0.00418831	0.00482635	0.00673012	0.00473482	0.00475141	0.00194144	0.00393435	0.00522172	0	0.00930452	0.00769707	0	0.00398969	0.00614781	0.00580173	0.00191175	0.00418755	0	0.00657580	0.00309775	0.00803822	0.00469009	0.00661350	0.00629048	0.00630434	0.00768810	0.00931867	0.00500622	0.00475906	0.00833222	0.00595688	0.00006322	0.00482684	0.00499857	0	0.00468342	0.00743756	0.00751105	0.00338426	0.00675774	0.00457255	0.00707817	0.00979408	0.00208161	0.00615412	0.00492737	0.00313995
G8	0.02569531	0.01866369	0.02356125	0.02293623	0.02622284	0.02739739	0.02703187	0.02315344	0.02247236	0.01886178	0.02134828	0.02391940	0	0.02288753	0.02654227	0.01954813	0.02161514	0.02246613	0.02581100	0.02155272	0.00690392	0.00906327	0.00475321	0.00072234	0.01052213	0.00705230	0.00389272	0.00316926	0.00836805	0.00618809	0.00513081	0.01383487	0.00673623	0.00625038	0.00538531	0.00944798	0.00673344	0.00370397	0	0.00736087	0.00629733	0.00573546	0.00396705	0.00610499	0.00321564	0.00358981	0.00889116	0.00167728	0.00737005	0.00395368	0.00526413	0.00138643	0.00430218	0.00989460	0.00708482	0.00569614	0.00573114	0.00616995	0.00729435	0.00515619	0.00548572	0.00715601	0.00470233	0.00636934	0.00704448	0.01067441	0.00233088	0.00245280	0.00561269	0.00479877	0.00692269	0	0.00886785	0.00444185	0.00584855	0.00427997	0.00700827	0.00431396	0.00549214	0.00608148	0.00630641	0	0.00514142	0.00788738	0.00814106	0.00446266	0.00735013	0.00624212	0.00353174	0.00253643	0.00587269	0.00885803	0.00825945	0	0.00229305	0.00345525	0.00937949	0.00746394	0.00886213	0.00800586	0	0.01010168	0.00650647	0.00669386	0.00194944	0.00436218	0.00286448	0.00403131	0	0.00642906	0.00976582	0.00388932	0.00377954	0.00278430	0.00874285	0.00719191	0.00277737	0.00858593	0.00631623	0.00360652
G9	0.02477447	0.02122503	0.02078322	0.02045400	0.02663839	0.02547042	0.02457186	0.02345719	0.02122763	0.02066192	0.02173800	0.02283317	0.02143758	0.02139790	0.02172584	0.02440237	0.02198264	0.02293810	0.02737228	0.02494199	0.00694659	0.00550104	0.00436590	0	0.00843508	0.00340891	0.00292301	0.00326048	0.00493655	0.00614912	0.00911481	0.00824856	0.00524390	0.00795883	0.00320380	0.00620993	0.00875865	0.00436053	0.00598829	0.00681304	0.00654684	0.00410217	0.00522622	0.00389041	0.00420298	0.00408702	0.00456680	0	0.00703959	0.00724885	0.00253032	0.00473616	0.00581371	0.01160051	0.00828925	0.00624736	0.00602916	0	0.00193642	0.00197733	0.00671333	0	0.00886558	0.00649113	0.00915281	0.00563866	0.00504964	0.00315952	0.00501661	0.00379423	0.00552316	0.00753174	0.00842042	0.00193299	0.00630014	0.00583449	0.00675823	0.00486590	0.00251529	0.00564531	0.00540439	0.00581202	0.00467548	0	0.00598060	0.00278796	0.00672445	0.00744403	0.00404965	0.00333276	0.00365583	0.00484025	0.00727054	0.00545926	0.00582199	0.00758967	0.00658271	0.00381560	0.00865791	0.00752183	0.00598982	0.00967283	0.00854298	0.00636195	0	0.00463723	0.00429025	0.00645166	0.00576343	0.00756055	0.00696344	0.00629670	0.00543805	0.00501889	0.00507579	0.00704968	0.00788168	0.00610159	0.00204845	0.00428685
G10	0.02507623	0.02276667	0.02264579	0.02161956	0.02564973	0.01710244	0.02482075	0.02033636	0.02923183	0.02347537	0.02276374	0.02199695	0.02241000	0.02441199	0.02480921	0.02365805	0.02000859	0.02316688	0.02684834	0.01968054	0.00838530	0.00741974	0.00910589	0.00395833	0.00711267	0.00070352	0.00611597	0.00398884	0.00957520	0.00311415	0.00900458	0.00616121	0.00658767	0.00890591	0.00772305	0.00527172	0.00583102	0.00219607	0.00650873	0.00544659	0.00884268	0.00558090	0	0	0.00014489	0.00177150	0	0.00277808	0.00676982	0.01036218	0.00754816	0.00578653	0.00309954	0.00837290	0	0.00713482	0.00347400	0.00187367	0.00225902	0.00671350	0.00995487	0.00431496	0.00924176	0.00824669	0.00811963	0.00685044	0.00404245	0.00094994	0.00257943	0	0.00528371	0.00751313	0.00861245	0.00550691	0.00592867	0.00213625	0.00781941	0.00607391	0.00551231	0.00587276	0.00464320	0	0.00685685	0.00906983	0.00448841	0.00604141	0.01018555	0.00701325	0.00221185	0.00489770	0.00393144	0.00780338	0.00675673	0.00459038	0.00596032	0.00461925	0.00900562	0.00403399	0.00419522	0.00811685	0.00566792	0.00507484	0.00748455	0.00315974	0.00455492	0.00522581	0.00407151	0.00443237	0	0.01053909	0.00737071	0.00864204	0.00422895	0.00528904	0.00404538	0.00855032	0.00270696	0.00610186	0.00351350	0.00225220
